prompt,intent,classes
Copy paste chart: Copy the scatter plot of social media engagement metrics by time and paste it in the social media marketing analysis report for time-wise engagement trend analysis,Copy-paste chart,charts
Determine the data series source for a pareto chart in <Range>,Set data series source,charts
Get rid of pivot table with supplier performance data,Remove Pivot Table,pivot tables
Remove Customer Satisfaction scores: Remove customer satisfaction scores data series from the radar chart to highlight satisfaction improvement efforts,Remove data series,charts
"The <Name> column in the History table will be moved to the right of the ""End Date"" column in the English language",Move columns,management
Hide columns KA to KE to simplify the layout,Hide columns,management
Highlight detailed data points in a pie chart with a different border color ,Format data points,charts
Create a pivot table to analyze inventory,Create Pivot Table,pivot tables
Use text wrapping for the description column,Wrap text,formatting
How can one change the pivot table chart to a line graph for trend analysis,Format Pivot Table,pivot tables
Customize a chord diagram showing customer interactions with different products and add a trend line to analyze customer engagement trends,Set trend line,charts
Is it possible to use custom error bars on a column chart to represent specific margins of error on a spreadsheet,Add error bars,charts
"Lock the ""Product Type"" range to prevent unauthorized access",Lock,formatting
How do I insert a text box under the scatter plot,Insert textbox,entry and manipulation
How do you compare email open rates by subject line,Create Pivot Table,pivot tables
Copy-paste chart: Duplicate the combo chart showing revenue by product category and paste it in the marketing campaign analysis report,Copy-paste chart,charts
Is order of a range from <Cell> to <Number> based on number of characters,Sort,management
How do you update the employee performance ratings in cells <Range>,Update cell range,entry and manipulation
Could you assist me in renaming <Name> to <Name>,Rename sheets,entry and manipulation
"I need to add a column after column EJ in Excel document """,Insert column,entry and manipulation
Can the page layout have a specific footer with the company name,Change page layout,formatting
Plot a spider chart comparing employees performance in different skill areas and add a trend line to monitor improvements in skill levels over time,Set trend line,charts
Use a grayscale color scheme on a scatter plot for a minimalist design,Set chart color,charts
" ""Exclude error bars from the box plot to emphasize the quartiles and outliers in the data",Remove error bars,charts
Remove data labels from a bar graph to highlight the values,Remove data labels,charts
What should be changed by renaming <Name> to <Name>,Rename sheets,entry and manipulation
"Order Shipping Confirmation"" does not lock, so no unintended amendments can occur Lock a ""Order Shipping Confirmation"" cell",Lock,formatting
Generate a Pivot Chart to visualize trends in customer support ticket and resolution times,Create Pivot chart,charts
How do I filter project milestones Only the ones in the project milestone are <Name>,Filter,management
Is there an old font scaling value that the content used in cells have violated,Clear,entry and manipulation
Remove data series: Remove the advertising spend data series from the line graph to analyze marketing ROI,Remove data series,charts
Is there a formula to increase the thickness of the waterfall path,Set chart axis,charts
Could you delete the hyperlinks in cells <Cell> to <Cell>,Delete hyperlink,entry and manipulation
"Please copy the formatting from cell <Cell> and apply it to cell <Cell>"" ""Please wait a few hours",Copy-paste format,entry and manipulation
How do I create a pivot table pivot chart filter for interactive data exploration  Enable advanced feature such as column filter for Excel to generate dynamic results,Format Pivot Table,pivot tables
Hide data labels in a gauge chart to declutter the visualization,Remove data labels,charts
Copy-paste charts: Copy the doughnut chart of customer feedback ratings by product and paste it in the Customer satisfaction survey analysis report for product feedback analysis,Copy-paste chart,charts
